2025-01-26 18:05:20,091 - dqn - INFO - Finished episode 185; total score 425; avg score 186; epsilon 0.3956124386
2025-01-26 18:05:30,857 - dqn - INFO - Finished episode 186; total score 135; avg score 185; epsilon 0.3936343764
2025-01-26 18:05:43,866 - dqn - INFO - Finished episode 187; total score 105; avg score 185; epsilon 0.3916662045
2025-01-26 18:06:08,256 - dqn - INFO - Finished episode 188; total score 380; avg score 186; epsilon 0.3897078735
2025-01-26 18:06:25,386 - dqn - INFO - Finished episode 189; total score 180; avg score 186; epsilon 0.3877593341
2025-01-26 18:06:49,423 - dqn - INFO - Finished episode 190; total score 410; avg score 187; epsilon 0.3858205375
2025-01-26 18:07:07,109 - dqn - INFO - Finished episode 191; total score 355; avg score 188; epsilon 0.3838914348
2025-01-26 18:07:20,291 - dqn - INFO - Finished episode 192; total score 80; avg score 187; epsilon 0.3819719776
2025-01-26 18:07:39,915 - dqn - INFO - Finished episode 193; total score 155; avg score 187; epsilon 0.3800621177
2025-01-26 18:07:47,198 - dqn - INFO - Finished episode 194; total score 35; avg score 186; epsilon 0.3781618071
2025-01-26 18:08:00,362 - dqn - INFO - Finished episode 195; total score 130; avg score 186; epsilon 0.3762709981
2025-01-26 18:08:31,935 - dqn - INFO - Finished episode 196; total score 480; avg score 188; epsilon 0.3743896431
2025-01-26 18:08:44,865 - dqn - INFO - Finished episode 197; total score 110; avg score 187; epsilon 0.3725176949
2025-01-26 18:09:02,136 - dqn - INFO - Finished episode 198; total score 210; avg score 187; epsilon 0.3706551064
2025-01-26 18:09:19,543 - dqn - INFO - Finished episode 199; total score 210; avg score 187; epsilon 0.3688018309
2025-01-26 18:09:41,651 - dqn - INFO - Finished episode 200; total score 180; avg score 187; epsilon 0.3669578217
2025-01-26 18:09:56,438 - dqn - INFO - Finished episode 201; total score 125; avg score 187; epsilon 0.3651230326
2025-01-26 18:10:29,940 - dqn - INFO - Finished episode 202; total score 225; avg score 187; epsilon 0.3632974175
2025-01-26 18:10:46,515 - dqn - INFO - Finished episode 203; total score 155; avg score 187; epsilon 0.3614809304
